,DATA_NOTIFICACAO,Date,FAIXA_ETARIA,count
290,04/03/2020,2020-04-03,50 A 59 ANOS,1
291,04/03/2020,2020-04-03,60 A 69 ANOS,1
298,04/04/2020,2020-04-04,60 A 69 ANOS,12
301,04/04/2020,2020-04-04,<1ANO,2
300,04/04/2020,2020-04-04,80 A 89 ANOS,3
299,04/04/2020,2020-04-04,70 A 79 ANOS,4
297,04/04/2020,2020-04-04,50 A 59 ANOS,12
294,04/04/2020,2020-04-04,20 A 29 ANOS,12
295,04/04/2020,2020-04-04,30 A 39 ANOS,11
293,04/04/2020,2020-04-04,10 A 19 ANOS,1
292,04/04/2020,2020-04-04,1 A 9 ANOS,1
296,04/04/2020,2020-04-04,40 A 49 ANOS,18
304,04/05/2020,2020-04-05,30 A 39 ANOS,39
309,04/05/2020,2020-04-05,80 A 89 ANOS,3
308,04/05/2020,2020-04-05,70 A 79 ANOS,4
307,04/05/2020,2020-04-05,60 A 69 ANOS,12
306,04/05/2020,2020-04-05,50 A 59 ANOS,20
305,04/05/2020,2020-04-05,40 A 49 ANOS,34
302,04/05/2020,2020-04-05,10 A 19 ANOS,4
303,04/05/2020,2020-04-05,20 A 29 ANOS,36
313,04/06/2020,2020-04-06,30 A 39 ANOS,362
314,04/06/2020,2020-04-06,40 A 49 ANOS,293
315,04/06/2020,2020-04-06,50 A 59 ANOS,172
312,04/06/2020,2020-04-06,20 A 29 ANOS,202
320,04/06/2020,2020-04-06,<1ANO,4
319,04/06/2020,2020-04-06,90 OU MAIS,10
318,04/06/2020,2020-04-06,80 A 89 ANOS,18
317,04/06/2020,2020-04-06,70 A 79 ANOS,54
316,04/06/2020,2020-04-06,60 A 69 ANOS,85
311,04/06/2020,2020-04-06,10 A 19 ANOS,45
310,04/06/2020,2020-04-06,1 A 9 ANOS,21
324,04/07/2020,2020-04-07,30 A 39 ANOS,326
331,04/07/2020,2020-04-07,<1ANO,4
330,04/07/2020,2020-04-07,90 OU MAIS,6
329,04/07/2020,2020-04-07,80 A 89 ANOS,32
328,04/07/2020,2020-04-07,70 A 79 ANOS,61
325,04/07/2020,2020-04-07,40 A 49 ANOS,273
327,04/07/2020,2020-04-07,60 A 69 ANOS,113
321,04/07/2020,2020-04-07,1 A 9 ANOS,26
322,04/07/2020,2020-04-07,10 A 19 ANOS,47
323,04/07/2020,2020-04-07,20 A 29 ANOS,215
326,04/07/2020,2020-04-07,50 A 59 ANOS,194
332,04/08/2020,2020-04-08,1 A 9 ANOS,71
333,04/08/2020,2020-04-08,10 A 19 ANOS,128
334,04/08/2020,2020-04-08,20 A 29 ANOS,423
335,04/08/2020,2020-04-08,30 A 39 ANOS,604
336,04/08/2020,2020-04-08,40 A 49 ANOS,521
337,04/08/2020,2020-04-08,50 A 59 ANOS,376
340,04/08/2020,2020-04-08,80 A 89 ANOS,68
339,04/08/2020,2020-04-08,70 A 79 ANOS,116
341,04/08/2020,2020-04-08,90 OU MAIS,12
342,04/08/2020,2020-04-08,<1ANO,6
338,04/08/2020,2020-04-08,60 A 69 ANOS,205
353,04/09/2020,2020-04-09,<1ANO,11
352,04/09/2020,2020-04-09,90 OU MAIS,16
343,04/09/2020,2020-04-09,1 A 9 ANOS,74
344,04/09/2020,2020-04-09,10 A 19 ANOS,120
351,04/09/2020,2020-04-09,80 A 89 ANOS,60
350,04/09/2020,2020-04-09,70 A 79 ANOS,104
349,04/09/2020,2020-04-09,60 A 69 ANOS,237
348,04/09/2020,2020-04-09,50 A 59 ANOS,326
347,04/09/2020,2020-04-09,40 A 49 ANOS,469
